predictor,outcome,r2
AUDIT-C_9D,HC_37_2,1
AUDIT-C_9D,HC_37_8,1
AUDIT-C_9D,HC_38_4,1
AUDIT-C_9D,HC_38_5,1
AUDIT-C_9D,HC_38_8,1
BMI_1_AnsVal,SF-36_5,1
BMI_1_AnsVal,SF-36_7,1
BMI_1_AnsVal,SF-36_11,1
BMI_1_AnsVal,SF-36_12,1
BMI_1_AnsVal,SF-36_14,1
BMI_1_AnsVal,SF-36_16,1
BMI_1_AnsVal,SF-36_19,1
BMI_1_AnsVal,SF-36_23,1
BMI_1_AnsVal,SF-36_24,1
BMI_1_AnsVal,SF-36_25,1
BMI_1_AnsVal,SF-36_28,1
BMI_1_AnsVal,SF-36_30,1
BMI_1_AnsVal,HC_37_2,1
BMI_1_AnsVal,HC_37_4,1
BMI_1_AnsVal,HC_37_5,1
BMI_1_AnsVal,HC_37_6,1
BMI_1_AnsVal,HC_37_7,1
BMI_1_AnsVal,HC_37_8,1
BMI_1_AnsVal,HC_37_9,1
BMI_1_AnsVal,HC_38_1,1
BMI_1_AnsVal,HC_38_2,1
BMI_1_AnsVal,HC_38_3,1
BMI_1_AnsVal,HC_38_4,1
BMI_1_AnsVal,HC_38_5,1
BMI_1_AnsVal,HC_38_6,1
BMI_1_AnsVal,HC_38_7,1
BMI_1_AnsVal,HC_38_8,1
BMI_1_AnsVal,HC_38_9,1
BMI_1_AnsVal,HC_38_10,1
BMI_1_AnsVal,HC_38_11,1
BMI_1_AnsVal,HC_38_12,1
BMI_1_AnsVal,HC_38_13,1
BMI_1_AnsVal,HC_38_14,1
BMI_1_AnsVal,HC_38_15,1
BMI_1_AnsVal,HC_38_16,1
BPI_2_AnsVal,SF-36_3,1
BPI_2_AnsVal,SF-36_4,1
BPI_2_AnsVal,SF-36_5,1
BPI_2_AnsVal,SF-36_6,1
BPI_2_AnsVal,SF-36_7,1
BPI_2_AnsVal,SF-36_9,1
BPI_2_AnsVal,SF-36_10,1
BPI_2_AnsVal,SF-36_11,1
BPI_2_AnsVal,SF-36_12,1
BPI_2_AnsVal,SF-36_13,1
BPI_2_AnsVal,SF-36_14,1
BPI_2_AnsVal,SF-36_15,1
BPI_2_AnsVal,SF-36_16,1
BPI_2_AnsVal,SF-36_17,1
BPI_2_AnsVal,SF-36_18,1
BPI_2_AnsVal,SF-36_19,1
BPI_2_AnsVal,SF-36_23,1
BPI_2_AnsVal,SF-36_24,1
BPI_2_AnsVal,SF-36_25,1
BPI_2_AnsVal,SF-36_26,1
BPI_2_AnsVal,SF-36_27,1
BPI_2_AnsVal,SF-36_28,1
BPI_2_AnsVal,SF-36_29,1
BPI_2_AnsVal,SF-36_30,1
BPI_2_AnsVal,SF-36_31,1
BPI_2_AnsVal,SF-36_34,1
BPI_2_AnsVal,SF-36_35,1
BPI_2_AnsVal,SF-36_36,1
BPI_2_AnsVal,HC_37_1,1
BPI_2_AnsVal,HC_37_2,1
BPI_2_AnsVal,HC_37_3,1
BPI_2_AnsVal,HC_37_4,1
BPI_2_AnsVal,HC_37_5,1
BPI_2_AnsVal,HC_37_6,1
BPI_2_AnsVal,HC_37_7,1
BPI_2_AnsVal,HC_37_8,1
BPI_2_AnsVal,HC_37_9,1
BPI_2_AnsVal,HC_38_1,1
BPI_2_AnsVal,HC_38_2,1
BPI_2_AnsVal,HC_38_3,1
BPI_2_AnsVal,HC_38_4,1
BPI_2_AnsVal,HC_38_5,1
BPI_2_AnsVal,HC_38_6,1
BPI_2_AnsVal,HC_38_7,1
BPI_2_AnsVal,HC_38_8,1
BPI_2_AnsVal,HC_38_9,1
BPI_2_AnsVal,HC_38_10,1
BPI_2_AnsVal,HC_38_11,1
BPI_2_AnsVal,HC_38_12,1
BPI_2_AnsVal,HC_38_13,1
BPI_2_AnsVal,HC_38_14,1
BPI_2_AnsVal,HC_38_15,1
BPI_2_AnsVal,HC_38_16,1
DEM_RACE_9,SF-36_3,1
DEM_RACE_9,SF-36_4,1
DEM_RACE_9,SF-36_5,1
DEM_RACE_9,SF-36_6,1
DEM_RACE_9,SF-36_7,1
DEM_RACE_9,SF-36_9,1
DEM_RACE_9,SF-36_10,1
DEM_RACE_9,SF-36_11,1
DEM_RACE_9,SF-36_12,1
DEM_RACE_9,SF-36_13,1
DEM_RACE_9,SF-36_14,1
DEM_RACE_9,SF-36_15,1
DEM_RACE_9,SF-36_16,1
DEM_RACE_9,SF-36_17,1
DEM_RACE_9,SF-36_18,1
DEM_RACE_9,SF-36_19,1
DEM_RACE_9,SF-36_23,1
DEM_RACE_9,SF-36_24,1
DEM_RACE_9,SF-36_25,1
DEM_RACE_9,SF-36_26,1
DEM_RACE_9,SF-36_27,1
DEM_RACE_9,SF-36_28,1
DEM_RACE_9,SF-36_29,1
DEM_RACE_9,SF-36_30,1
DEM_RACE_9,SF-36_31,1
DEM_RACE_9,SF-36_34,1
DEM_RACE_9,SF-36_35,1
DEM_RACE_9,SF-36_36,1
DEM_RACE_9,HC_37_1,1
DEM_RACE_9,HC_37_2,1
DEM_RACE_9,HC_37_3,1
DEM_RACE_9,HC_37_4,1
DEM_RACE_9,HC_37_5,1
DEM_RACE_9,HC_37_6,1
DEM_RACE_9,HC_37_7,1
DEM_RACE_9,HC_37_8,1
DEM_RACE_9,HC_37_9,1
DEM_RACE_9,HC_38_1,1
DEM_RACE_9,HC_38_2,1
DEM_RACE_9,HC_38_3,1
DEM_RACE_9,HC_38_4,1
DEM_RACE_9,HC_38_5,1
DEM_RACE_9,HC_38_6,1
DEM_RACE_9,HC_38_7,1
DEM_RACE_9,HC_38_8,1
DEM_RACE_9,HC_38_9,1
DEM_RACE_9,HC_38_10,1
DEM_RACE_9,HC_38_11,1
DEM_RACE_9,HC_38_12,1
DEM_RACE_9,HC_38_13,1
DEM_RACE_9,HC_38_14,1
DEM_RACE_9,HC_38_15,1
DEM_RACE_9,HC_38_16,1
GH_90A_AnsVal,SF-36_3,1
GH_90A_AnsVal,SF-36_4,1
GH_90A_AnsVal,SF-36_5,1
GH_90A_AnsVal,SF-36_6,1
GH_90A_AnsVal,SF-36_7,1
GH_90A_AnsVal,SF-36_9,1
GH_90A_AnsVal,SF-36_10,1
GH_90A_AnsVal,SF-36_11,1
GH_90A_AnsVal,SF-36_12,1
GH_90A_AnsVal,SF-36_13,1
GH_90A_AnsVal,SF-36_14,1
GH_90A_AnsVal,SF-36_15,1
GH_90A_AnsVal,SF-36_16,1
GH_90A_AnsVal,SF-36_17,1
GH_90A_AnsVal,SF-36_18,1
GH_90A_AnsVal,SF-36_19,1
GH_90A_AnsVal,SF-36_23,1
GH_90A_AnsVal,SF-36_24,1
GH_90A_AnsVal,SF-36_25,1
GH_90A_AnsVal,SF-36_26,1
GH_90A_AnsVal,SF-36_27,1
GH_90A_AnsVal,SF-36_28,1
GH_90A_AnsVal,SF-36_29,1
GH_90A_AnsVal,SF-36_30,1
GH_90A_AnsVal,SF-36_31,1
GH_90A_AnsVal,SF-36_34,1
GH_90A_AnsVal,SF-36_35,1
GH_90A_AnsVal,SF-36_36,1
GH_90A_AnsVal,HC_37_1,1
GH_90A_AnsVal,HC_37_2,1
GH_90A_AnsVal,HC_37_3,1
GH_90A_AnsVal,HC_37_4,1
GH_90A_AnsVal,HC_37_5,1
GH_90A_AnsVal,HC_37_6,1
GH_90A_AnsVal,HC_37_7,1
GH_90A_AnsVal,HC_37_8,1
GH_90A_AnsVal,HC_37_9,1
GH_90A_AnsVal,HC_38_1,1
GH_90A_AnsVal,HC_38_2,1
GH_90A_AnsVal,HC_38_3,1
GH_90A_AnsVal,HC_38_4,1
GH_90A_AnsVal,HC_38_5,1
GH_90A_AnsVal,HC_38_6,1
GH_90A_AnsVal,HC_38_7,1
GH_90A_AnsVal,HC_38_8,1
GH_90A_AnsVal,HC_38_9,1
GH_90A_AnsVal,HC_38_10,1
GH_90A_AnsVal,HC_38_11,1
GH_90A_AnsVal,HC_38_12,1
GH_90A_AnsVal,HC_38_13,1
GH_90A_AnsVal,HC_38_14,1
GH_90A_AnsVal,HC_38_15,1
GH_90A_AnsVal,HC_38_16,1
GH_F_57A,HC_37_2,1
GH_M_60-64_1,HC_37_8,1
GH_M_60-64_2,HC_37_8,1
GH_M_60-64_3,HC_37_8,1
GH_M_60-64_4,HC_37_8,1
GH_M_60-64_5,HC_37_8,1
GH_M_60-64_6,HC_37_8,1
HCU_11_AnsVal,SF-36_3,1
HCU_11_AnsVal,SF-36_4,1
HCU_11_AnsVal,SF-36_5,1
HCU_11_AnsVal,SF-36_6,1
HCU_11_AnsVal,SF-36_7,1
HCU_11_AnsVal,SF-36_9,1
HCU_11_AnsVal,SF-36_10,1
HCU_11_AnsVal,SF-36_11,1
HCU_11_AnsVal,SF-36_12,1
HCU_11_AnsVal,SF-36_13,1
HCU_11_AnsVal,SF-36_14,1
HCU_11_AnsVal,SF-36_15,1
HCU_11_AnsVal,SF-36_16,1
HCU_11_AnsVal,SF-36_17,1
HCU_11_AnsVal,SF-36_18,1
HCU_11_AnsVal,SF-36_19,1
HCU_11_AnsVal,SF-36_23,1
HCU_11_AnsVal,SF-36_24,1
HCU_11_AnsVal,SF-36_25,1
HCU_11_AnsVal,SF-36_26,1
HCU_11_AnsVal,SF-36_27,1
HCU_11_AnsVal,SF-36_28,1
HCU_11_AnsVal,SF-36_29,1
HCU_11_AnsVal,SF-36_30,1
HCU_11_AnsVal,SF-36_31,1
HCU_11_AnsVal,SF-36_34,1
HCU_11_AnsVal,SF-36_35,1
HCU_11_AnsVal,SF-36_36,1
HCU_11_AnsVal,HC_37_1,1
HCU_11_AnsVal,HC_37_2,1
HCU_11_AnsVal,HC_37_3,1
HCU_11_AnsVal,HC_37_4,1
HCU_11_AnsVal,HC_37_5,1
HCU_11_AnsVal,HC_37_6,1
HCU_11_AnsVal,HC_37_7,1
HCU_11_AnsVal,HC_37_8,1
HCU_11_AnsVal,HC_37_9,1
HCU_14_1,SF-36_3,1
HCU_14_1,SF-36_4,1
HCU_14_1,SF-36_5,1
HCU_14_1,SF-36_6,1
HCU_14_1,SF-36_7,1
HCU_14_1,SF-36_9,1
HCU_14_1,SF-36_10,1
HCU_14_1,SF-36_11,1
HCU_14_1,SF-36_12,1
HCU_14_1,SF-36_13,1
HCU_14_1,SF-36_14,1
HCU_14_1,SF-36_15,1
HCU_14_1,SF-36_16,1
HCU_14_1,SF-36_17,1
HCU_14_1,SF-36_18,1
HCU_14_1,SF-36_19,1
HCU_14_1,SF-36_23,1
HCU_14_1,SF-36_24,1
HCU_14_1,SF-36_25,1
HCU_14_1,SF-36_26,1
HCU_14_1,SF-36_27,1
HCU_14_1,SF-36_28,1
HCU_14_1,SF-36_29,1
HCU_14_1,SF-36_30,1
HCU_14_1,SF-36_31,1
HCU_14_1,SF-36_34,1
HCU_14_1,SF-36_35,1
HCU_14_1,SF-36_36,1
HCU_14_1,HC_37_1,1
HCU_14_1,HC_37_2,1
HCU_14_1,HC_37_3,1
HCU_14_1,HC_37_4,1
HCU_14_1,HC_37_5,1
HCU_14_1,HC_37_6,1
HCU_14_1,HC_37_7,1
HCU_14_1,HC_37_8,1
HCU_14_1,HC_37_9,1
HCU_14_1,HC_38_1,1
HCU_14_1,HC_38_2,1
HCU_14_1,HC_38_3,1
HCU_14_1,HC_38_4,1
HCU_14_1,HC_38_5,1
HCU_14_1,HC_38_6,1
HCU_14_1,HC_38_7,1
HCU_14_1,HC_38_8,1
HCU_14_1,HC_38_9,1
HCU_14_1,HC_38_10,1
HCU_14_1,HC_38_11,1
HCU_14_1,HC_38_12,1
HCU_14_1,HC_38_13,1
HCU_14_1,HC_38_14,1
HCU_14_1,HC_38_15,1
HCU_14_1,HC_38_16,1
HCU_14_2,SF-36_3,1
HCU_14_2,SF-36_4,1
HCU_14_2,SF-36_5,1
HCU_14_2,SF-36_6,1
HCU_14_2,SF-36_7,1
HCU_14_2,SF-36_9,1
HCU_14_2,SF-36_10,1
HCU_14_2,SF-36_11,1
HCU_14_2,SF-36_12,1
HCU_14_2,SF-36_13,1
HCU_14_2,SF-36_14,1
HCU_14_2,SF-36_15,1
HCU_14_2,SF-36_16,1
HCU_14_2,SF-36_17,1
HCU_14_2,SF-36_18,1
HCU_14_2,SF-36_19,1
HCU_14_2,SF-36_23,1
HCU_14_2,SF-36_24,1
HCU_14_2,SF-36_25,1
