predictor,outcome,PPMC,pval,PPMC_abs
KW_39-42_10,SF-36_19,1,0,1
KW_39-42_10,SF-36_35,1,0,1
KW_39-42_10,SF-36_36,1,0,1
KW_39-42_10,HC_37_6,1,0,1
KW_39-42_10,HC_37_9,1,0,1
KW_39-42_10,HC_38_4,1,0,1
KW_39-42_10,HC_38_9,1,0,1
KW_39-42_10,HC_38_10,1,0,1
KW_39-42_10,HC_38_11,1,0,1
KW_39-42_10,HC_38_12,1,0,1
KW_39-42_10,HC_38_15,1,0,1
KW_39-42_11,SF-36_19,1,0,1
KW_39-42_11,SF-36_35,1,0,1
KW_39-42_11,SF-36_36,1,0,1
KW_39-42_11,HC_37_6,1,0,1
KW_39-42_11,HC_37_9,1,0,1
KW_39-42_11,HC_38_4,1,0,1
KW_39-42_11,HC_38_9,1,0,1
KW_39-42_11,HC_38_10,1,0,1
KW_39-42_11,HC_38_11,1,0,1
KW_39-42_11,HC_38_12,1,0,1
KW_39-42_11,HC_38_15,1,0,1
KW_39-42_12,SF-36_19,1,0,1
KW_39-42_12,SF-36_35,1,0,1
KW_39-42_12,SF-36_36,1,0,1
KW_39-42_12,HC_37_6,1,0,1
KW_39-42_12,HC_37_9,1,0,1
KW_39-42_12,HC_38_4,1,0,1
KW_39-42_12,HC_38_9,1,0,1
KW_39-42_12,HC_38_10,1,0,1
KW_39-42_12,HC_38_11,1,0,1
KW_39-42_12,HC_38_12,1,0,1
KW_39-42_12,HC_38_15,1,0,1
KW_39-42_15,SF-36_19,1,0,1
KW_39-42_15,SF-36_35,1,0,1
KW_39-42_15,SF-36_36,1,0,1
KW_39-42_15,HC_37_6,1,0,1
KW_39-42_15,HC_37_9,1,0,1
KW_39-42_15,HC_38_4,1,0,1
KW_39-42_15,HC_38_9,1,0,1
KW_39-42_15,HC_38_10,1,0,1
KW_39-42_15,HC_38_11,1,0,1
KW_39-42_15,HC_38_12,1,0,1
KW_39-42_15,HC_38_15,1,0,1
KW_39-42_9,SF-36_19,1,0,1
KW_39-42_9,SF-36_35,1,0,1
KW_39-42_9,SF-36_36,1,0,1
KW_39-42_9,HC_37_6,1,0,1
KW_39-42_9,HC_37_9,1,0,1
KW_39-42_9,HC_38_4,1,0,1
KW_39-42_9,HC_38_9,1,0,1
KW_39-42_9,HC_38_10,1,0,1
KW_39-42_9,HC_38_11,1,0,1
KW_39-42_9,HC_38_12,1,0,1
KW_39-42_9,HC_38_15,1,0,1
LTEQ_5_AnsVal,SF-36_4,1,0,1
LTEQ_5_AnsVal,SF-36_6,1,0,1
LTEQ_5_AnsVal,SF-36_9,1,0,1
LTEQ_5_AnsVal,SF-36_15,1,0,1
LTEQ_5_AnsVal,SF-36_24,1,0,1
LTEQ_5_AnsVal,SF-36_29,1,0,1
LTEQ_5_AnsVal,SF-36_31,1,0,1
LTEQ_5_AnsVal,SF-36_35,1,0,1
MW_7-10,SF-36_23,1,0,1
MW_7-10,SF-36_26,1,0,1
MW_7-10,SF-36_27,1,0,1
MW_7-10,SF-36_30,1,0,1
MW_7-10,SF-36_34,1,0,1
MW_7-10,SF-36_36,1,0,1
NPX_2-5,SF-36_23,1,0,1
NPX_2-5,SF-36_26,1,0,1
NPX_2-5,SF-36_27,1,0,1
NPX_2-5,SF-36_30,1,0,1
NPX_2-5,SF-36_34,1,0,1
NPX_2-5,SF-36_36,1,0,1
NPX_2-5,HC_37_3,1,0,1
NPX_2-5,HC_37_5,1,0,1
NPX_2-5,HC_38_3,1,0,1
NPX_2-5,HC_38_4,1,0,1
NPX_2-5,HC_38_16,1,0,1
SF-36_1,SF-36_36,0.7366281321,1.65446916068911E-120,0.7366281321
SF-36_1,SF-36_34,0.6246181741,6.82877838660609E-077,0.6246181741
CTXD_50-54_4_AnsVal,SF-36_26,0.6127854044,3.43551613947233E-073,0.6127854044
GAD7_5C,SF-36_26,0.609723149,1.78421774784355E-071,0.609723149
CTXD_50-54_4_AnsVal,SF-36_30,0.6097131885,3.51253416131129E-072,0.6097131885
CTXD_50-54_4_AnsVal,SF-36_23,0.6057006257,6.53184980208821E-071,0.6057006257
PHQ_2A-D_4_AnsVal,SF-36_27,0.5963453449,4.63920774621182E-068,0.5963453449
SF-36_8,SF-36_6,0.5955272232,1.68406144052263E-068,0.5955272232
GAD7_5B,SF-36_26,0.5888201839,1.58941194705372E-065,0.5888201839
GAD7_5A,SF-36_26,0.5876103464,4.0171602707346E-066,0.5876103464
SF-36_32,SF-36_17,0.585089501,2.39292070934777E-065,0.585089501
SF-36_32,SF-36_14,0.5848742679,1.79679558240513E-065,0.5848742679
SF-36_8,SF-36_9,0.5845951286,1.73291134172074E-065,0.5845951286
SF-36_32,SF-36_15,0.5809885209,2.99856257942271E-064,0.5809885209
FSI_12,SF-36_27,0.5779914063,1.86015730650787E-063,0.5779914063
SF-36_32,SF-36_16,0.5770545667,2.67540674279609E-063,0.5770545667
FSI_5-8_1_AnsText,SF-36_27,0.5747107294,3.00126748547254E-062,0.5747107294
FSI_14,SF-36_27,0.5746899199,2.48499617368121E-062,0.5746899199
GAD7_5D,SF-36_26,0.5730651716,2.16531604857858E-061,0.5730651716
FSI_15,SF-36_27,0.5681280634,9.79326433257018E-061,0.5681280634
CTXD_29-33_2_AnsVal,SF-36_27,0.5653016628,5.06122723524792E-060,0.5653016628
SF-36_20,SF-36_23,0.563145576,9.87126133937521E-060,0.563145576
SF-36_8,SF-36_10,0.5551335768,6.49881741532323E-058,0.5551335768
PHQ_2A-D_2_AnsVal,SF-36_30,0.5515348057,6.22078272720321E-056,0.5515348057
CTXD_50-54_1_AnsVal,SF-36_30,0.550474074,2.1678248485454E-056,0.550474074
CTXD_39-43_4_AnsVal,SF-36_27,0.550102536,4.57535829527214E-056,0.550102536
PHQ_2A-D_1_AnsVal,SF-36_23,0.5492321784,1.05532762736867E-055,0.5492321784
SF-36_32,SF-36_29,0.5461786454,1.11055396188428E-055,0.5461786454
PHQ_2A-D_2_AnsVal,SF-36_26,0.5461340506,9.61138104548995E-055,0.5461340506
CTXD_50-54_1_AnsVal,SF-36_23,0.5454907179,3.91958230581075E-055,0.5454907179
SF-36_8,SF-36_7,0.5454381085,1.39204017829806E-055,0.5454381085
FSI_5-8_3_AnsText,SF-36_27,0.5454073386,9.94689313491057E-055,0.5454073386
SF-36_32,SF-36_31,0.5452427684,2.20634738022508E-055,0.5452427684
FSI_13,SF-36_27,0.542304918,3.6657246475336E-054,0.542304918
FSI_9-11_3_AnsText,SF-36_23,0.5407087016,1.01699005871632E-053,0.5407087016
CTXD_24-28_3_AnsVal,SF-36_26,0.5406795404,8.6817766057416E-054,0.5406795404
CTXD_50-54_5_AnsVal,SF-36_30,0.5396405903,1.26425662719715E-053,0.5396405903
MW_1,SF-36_26,0.5392236849,1.32568392470348E-053,0.5392236849
SF-36_32,SF-36_18,0.5385244184,6.83099790861531E-054,0.5385244184
PHQ_2A-D_1_AnsVal,SF-36_30,0.5375769872,4.44338079380925E-053,0.5375769872
FSI_9-11_2_AnsText,SF-36_23,0.5368934638,6.352527467272E-053,0.5368934638
SF-36_32,SF-36_28,0.5363956621,2.49964979748324E-053,0.5363956621
SF-36_20,SF-36_30,0.5362435113,2.28424202373533E-053,0.5362435113
CTXD_50-54_5_AnsVal,SF-36_23,0.533175112,4.37734021452478E-052,0.533175112
SF-36_32,SF-36_13,0.5330708288,1.68711246341971E-052,0.5330708288
CTXD_29-33_2_AnsVal,SF-36_23,0.5324599727,3.23898064175033E-052,0.5324599727
MW_6,SF-36_30,0.5321560378,2.89439748389507E-046,0.5321560378
FSI_1-4_3_AnsText,SF-36_27,0.5300711178,1.54578234821399E-051,0.5300711178
CTXD_50-54_1_AnsVal,SF-36_26,0.5285087552,2.0957497926875E-051,0.5285087552
FSI_9-11_2_AnsText,SF-36_27,0.527269462,7.59068529187037E-051,0.527269462
PHQ_2A-D_2_AnsVal,SF-36_23,0.5257924073,4.99423969462697E-050,0.5257924073
CTXD_50-54_5_AnsVal,SF-36_26,0.5245058557,2.60161798248552E-050,0.5245058557
MW_6,SF-36_26,0.5242088703,8.86761938347244E-045,0.5242088703
CTXD_29-33_4_AnsVal,SF-36_26,0.5197372128,3.28527467922803E-049,0.5197372128
GAD7_5C,SF-36_30,0.5191871777,8.10093061304885E-049,0.5191871777
FSI_9-11_3_AnsText,SF-36_27,0.5191349006,5.17791306835646E-049,0.5191349006
SP_61_AnsVal,SF-36_28,0.5170862349,1.41462519947753E-048,0.5170862349
PHQ_2A-D_1_AnsVal,SF-36_26,0.5163958222,1.69594139882076E-048,0.5163958222
SF-36_8,SF-36_3,0.5159748221,8.19375837819751E-049,0.5159748221
SF-36_8,SF-36_4,0.5137354059,1.80530487109996E-048,0.5137354059
RH_M_9G_L_6_AnsVal,SF-36_12,0.5075451849,0.0001438418,0.5075451849
FSI_5-8_4_AnsText,SF-36_27,0.5073273228,9.88052203388572E-047,0.5073273228
CTXD_24-28_1_AnsVal,SF-36_27,0.5070795101,8.24543754397885E-047,0.5070795101
MW_15-18_2_AnsVal,SF-36_30,0.5065050052,1.25787122867749E-046,0.5065050052
SF-36_32,SF-36_25,0.5059944421,8.84489692562554E-047,0.5059944421
FSI_14,SF-36_23,0.5042898703,4.81681761419211E-046,0.5042898703
CTXD_24-28_3_AnsVal,SF-36_30,0.5034680962,1.10058347181924E-045,0.5034680962
FSI_15,SF-36_23,0.5018683602,1.2932210850025E-045,0.5018683602
GAD7_5B,SF-36_30,0.5010165016,5.31716558598913E-045,0.5010165016
PHQ_2E-H_2_AnsVal,SF-36_26,0.5005337597,4.29944229354557E-045,0.5005337597
